ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2022-06-13,3.342115035344781,3.1361932403740576,3.493671408595921,3.342115035344781,3.342115035344781,-0.0188248699186764,-0.0188248699186764,-0.0188248699186764,-0.0188248699186764,-0.0188248699186764,-0.0188248699186764,0.0,0.0,0.0,3.3232901654261044
2022-06-20,3.34763676711065,3.118904348102373,3.4837520350462974,3.34763676711065,3.34763676711065,-0.04898802516506441,-0.04898802516506441,-0.04898802516506441,-0.04898802516506441,-0.04898802516506441,-0.04898802516506441,0.0,0.0,0.0,3.298648741945586
2022-06-27,3.3531584988765197,3.1264384713713405,3.4736557347030037,3.3531584988765197,3.3531584988765197,-0.05194096838864083,-0.05194096838864083,-0.05194096838864083,-0.05194096838864083,-0.05194096838864083,-0.05194096838864083,0.0,0.0,0.0,3.301217530487879
2022-07-04,3.358680230642389,3.165395260050079,3.523618816556842,3.358680230642389,3.358680230642389,-0.011964812428238249,-0.011964812428238249,-0.011964812428238249,-0.011964812428238249,-0.011964812428238249,-0.011964812428238249,0.0,0.0,0.0,3.3467154182141505
2022-07-11,3.36459995046796,3.23819751375584,3.582222626657203,3.36459995046796,3.36459995046796,0.05337249119025058,0.05337249119025058,0.05337249119025058,0.05337249119025058,0.05337249119025058,0.05337249119025058,0.0,0.0,0.0,3.4179724416582107
2022-07-18,3.3705196702935307,3.312582321306472,3.6437517424718315,3.3705196702935307,3.3705196702935307,0.10984995510680687,0.10984995510680687,0.10984995510680687,0.10984995510680687,0.10984995510680687,0.10984995510680687,0.0,0.0,0.0,3.480369625400338
2022-07-25,3.3764393901191014,3.33261158153325,3.7003701888207687,3.3764393901191014,3.3764393901191014,0.13886644966680256,0.13886644966680256,0.13886644966680256,0.13886644966680256,0.13886644966680256,0.13886644966680256,0.0,0.0,0.0,3.515305839785904
2022-08-01,3.382359109944672,3.3614740476310723,3.7063076181744963,3.382359109944672,3.382359109944672,0.15048774015544406,0.15048774015544406,0.15048774015544406,0.15048774015544406,0.15048774015544406,0.15048774015544406,0.0,0.0,0.0,3.5328468501001162
2022-08-08,3.389111361113527,3.3798282847800154,3.7244153180904007,3.389111361113527,3.389111361113527,0.1654150418333734,0.1654150418333734,0.1654150418333734,0.1654150418333734,0.1654150418333734,0.1654150418333734,0.0,0.0,0.0,3.5545264029469004
2022-08-15,3.395863612282381,3.414028793508471,3.7716145993376173,3.395863612282381,3.395863612282381,0.18909934651420818,0.18909934651420818,0.18909934651420818,0.18909934651420818,0.18909934651420818,0.18909934651420818,0.0,0.0,0.0,3.584962958796589
2022-08-22,3.4026158634512353,3.4373866003366973,3.7838083817217414,3.4026158634512353,3.4026158634512353,0.20768819812673875,0.20768819812673875,0.20768819812673875,0.20768819812673875,0.20768819812673875,0.20768819812673875,0.0,0.0,0.0,3.610304061577974
